frame,mse,rmse,mae,psnr,snr,ssim,mmd,capacity_bits,embedded_bits,capacity_ratio,embed_time_sec
132,0.008438786008230453,0.09186286522981119,0.008438786008230453,68.868003867361,55.799386258464025,0.999938576116629,7.973251028658979e-05,6449,6449,1.0,0.1665806770324707
55,0.007564300411522634,0.08697298667702882,0.007564300411522634,69.34311592615077,56.1447634552643,0.9999488346030664,5.915637859743583e-05,6053,6053,1.0,0.1267855167388916
32,0.008166152263374485,0.09036676525899599,0.008166152263374485,69.01062887494152,55.72591674504758,0.9999320154362489,0.000516975308634926,6251,6251,1.0,0.11274266242980957
73,0.007641460905349794,0.08741545003802127,0.007641460905349794,69.29903965318483,56.26895657846972,0.9999466698741534,0.000146604938265682,5914,5914,1.0,0.17845392227172852
29,0.00801954732510288,0.0895519253009274,0.00801954732510288,69.08930506269324,55.811825225308695,0.9999444076766485,0.00044753086420001864,6353,6353,1.0,0.18969202041625977
77,0.007523148148148148,0.08673608331108887,0.007523148148148148,69.36680746703948,56.31137558583694,0.9999503057250312,0.00020318930040730265,5908,5908,1.0,0.14898133277893066
46,0.008073559670781893,0.08985298921450467,0.008073559670781893,69.06015301422104,55.774401180972745,0.9999394572193326,5.915637860454126e-05,6338,6338,1.0,0.14148640632629395
39,0.007816358024691357,0.0884101692379975,0.007816358024691357,69.20075917042205,55.95090160837729,0.9999273962034687,0.0007021604938302062,6013,6013,1.0,0.11649632453918457
95,0.007978395061728394,0.08932186217118626,0.007978395061728394,69.1116482364456,55.368589505808956,0.9999289754868391,0.00023148148147811298,6255,6255,1.0,0.10899925231933594
126,0.008137860082304526,0.09021008858384148,0.008137860082304526,69.02570142296508,55.83863575721705,0.9999335709504596,0.00021090534979606446,6354,6354,1.0,0.15180110931396484
117,0.008253600823045267,0.09084933033900287,0.008253600823045267,68.96436900026643,55.63424267756378,0.9999396907433319,0.00014660493827278742,6409,6409,1.0,0.15810298919677734
20,0.008096707818930042,0.08998170824634327,0.008096707818930042,69.04771893435121,55.793587082767964,0.9999391857297587,0.0002674897119305797,6324,6324,1.0,0.1708977222442627
47,0.00783179012345679,0.08849740178929995,0.00783179012345679,69.19219320153253,55.906113416935874,0.9999358718905599,0.000306069958845967,6062,6062,1.0,0.14314675331115723
149,0.00805812757201646,0.08976707398604714,0.00805812757201646,69.06846222240442,56.560278094934155,0.9999352825548059,0.00024948559670434634,6365,6365,1.0,0.17533397674560547
122,0.007952674897119342,0.08917777131729264,0.007952674897119342,69.12567131875859,55.944691812100956,0.9999325686688395,0.0005092592592603751,6310,6310,1.0,0.15620875358581543
116,0.00805812757201646,0.08976707398604714,0.00805812757201646,69.06846222240442,55.73175970368545,0.9999418839102101,0.00011574074074616192,6370,6370,1.0,0.14590167999267578
48,0.007669753086419753,0.08757712650241359,0.007669753086419753,69.28298978005172,56.00069990166517,0.9999397961275361,0.00032921810699804155,5974,5974,1.0,0.20323944091796875
