frame,attack,ber,ncc,zncc,nlse,entropy
148,ROTATION,0.310570987654321,0.9665741251446942,0.9408793196668308,0.06669264379977757,5.333063651955871
54,SALT_PEPPER,0.03302469135802469,0.9272737958055286,0.8820779950797452,0.1657271576196508,5.230213456580247
54,SPECKLE,0.29545524691358027,0.9888583192417736,0.9816968256743488,0.02241741135650436,5.2388418810854205
54,GAUSSIAN_BLUR,0.28108024691358025,0.997083208563122,0.9951766267066267,0.005896771557079992,5.3183209439446015
54,MEDIAN_FILTER,0.16878086419753086,0.9985338181285128,0.9975570449218861,0.002974178699678515,5.225937973084015
54,JPEG_40,0.68875,0.998548364378679,0.9976581745457288,0.002901879530395688,5.333984689816265
54,ROTATION,0.30488425925925927,0.9573958130227681,0.9288900895124469,0.08496551311952005,5.274859295708984
139,SALT_PEPPER,0.03392746913580247,0.9291566504427146,0.8798920607068352,0.1613533513014774,5.263025336932307
139,SPECKLE,0.2946913580246914,0.9888517028923419,0.9808140169189701,0.022443900379773465,5.272413114513803
139,GAUSSIAN_BLUR,0.2911574074074074,0.9974421443839734,0.9955636387601975,0.005166418036477249,5.341264883280242
139,MEDIAN_FILTER,0.18368055555555557,0.9986771223135498,0.9976876464931546,0.002676420456625376,5.253947470913203
139,JPEG_40,0.6878163580246913,0.9987181556476405,0.9978326083312193,0.0025624909926258354,5.35733343366321
139,ROTATION,0.3072067901234568,0.9647155817220695,0.9382187207574246,0.07039366829199938,5.303676977555575
85,SALT_PEPPER,0.03423611111111111,0.9216225884493512,0.8722711952360797,0.18078614105986032,5.226507633720019
85,SPECKLE,0.29550154320987654,0.9887548219815109,0.9814159431456615,0.02266769691536747,5.233150435736427
85,GAUSSIAN_BLUR,0.28435956790123457,0.9971986291324196,0.9953284796737536,0.005654432827297773,5.306492151541303
85,MEDIAN_FILTER,0.17683641975308642,0.9985518712961599,0.9975687001504949,0.002926679506002361,5.218013941419846
85,JPEG_40,0.6853858024691358,0.9985569463988656,0.9976608449326118,0.002884088577334836,5.323376600200525
85,ROTATION,0.30736882716049385,0.960496065199931,0.9335762819696124,0.07879837029906347,5.266326325530614
51,SALT_PEPPER,0.03369598765432099,0.9242976859059804,0.8772794267605029,0.17343214913634405,5.229114372465481
51,SPECKLE,0.2931944444444444,0.9887731082450159,0.9815552204709749,0.022602099962594494,5.236420478614276
51,GAUSSIAN_BLUR,0.2765354938271605,0.9971403839193754,0.9952673288677402,0.005780676032625607,5.316263339757042
51,MEDIAN_FILTER,0.16104938271604938,0.9985718275602076,0.9976185424610756,0.00289599643088828,5.2243727888752725
51,JPEG_40,0.6869830246913581,0.9985949532475789,0.9977356904346554,0.002808524548022813,5.332539623312215
51,ROTATION,0.30616512345679014,0.9575128027946368,0.929035744400917,0.08473365394273978,5.272401769809344
62,SALT_PEPPER,0.034012345679012346,0.9259338947618895,0.8795891366313042,0.16939441095131696,5.237370231879238
62,SPECKLE,0.2919907407407407,0.9887902328219851,0.9815360293398254,0.022569299800911893,5.246384383297296
62,GAUSSIAN_BLUR,0.28670524691358024,0.9970257204621558,0.9950649556716015,0.006010937045195732,5.324674867789345
62,MEDIAN_FILTER,0.18300925925925926,0.9984876918815352,0.9974717772349326,0.003065983925706102,5.232448721844401
62,JPEG_40,0.6868364197530864,0.9985147899176736,0.99759321241736,0.0029683715264207707,5.338847481608292
62,ROTATION,0.30579475308641973,0.9579107746599115,0.9295149683992459,0.08393622409899647,5.281849165815835
106,SALT_PEPPER,0.0337037037037037,0.9107022397950131,0.8592029805624112,0.2106126665373206,5.179533094740498
106,SPECKLE,0.29477623456790125,0.9889168991881354,0.9822030787242043,0.02230763653173618,5.182597645370254
106,GAUSSIAN_BLUR,0.270841049382716,0.9971761251882773,0.9954328369886954,0.005710791077559629,5.257077457730881
106,MEDIAN_FILTER,0.15642746913580247,0.9985331723186188,0.9976101322822777,0.002971234639465258,5.17266349625367
106,JPEG_40,0.6853780864197531,0.9985487835641635,0.9977325914000489,0.0029009178138730135,5.258344112043782
106,ROTATION,0.30266975308641975,0.9581806703959571,0.9317557222678343,0.08340643069158339,5.218077524172555
10,SALT_PEPPER,0.03215277777777778,0.9257029718762331,0.8797822339432089,0.17043498890466607,5.228130410489815
10,SPECKLE,0.2928317901234568,0.9888107107449742,0.9816489059969208,0.022548391771271194,5.24222133376479
10,GAUSSIAN_BLUR,0.2848070987654321,0.9968401089818216,0.994778428357025,0.006386469303964131,5.326542457344112
10,MEDIAN_FILTER,0.1804398148148148,0.9983956733314349,0.9973290931735248,0.003255407360926285,5.222403050912304
10,JPEG_40,0.6931481481481482,0.9984040344186338,0.9974175595227706,0.003189492424152192,5.327595734415265
10,ROTATION,0.3027469135802469,0.9554726212272665,0.9257321238097677,0.08878406178038005,5.277333352886526
121,SALT_PEPPER,0.0341820987654321,0.9225163185283842,0.8711738553137014,0.17891366394571206,5.228076922369328
121,SPECKLE,0.2961496913580247,0.9888871512459555,0.9812212613461465,0.02236807938408547,5.234688981919744
121,GAUSSIAN_BLUR,0.2841358024691358,0.9978279237117722,0.996296831472822,0.004383067044824899,5.308037187374054
121,MEDIAN_FILTER,0.1654320987654321,0.9988140233637139,0.9979639664401667,0.002390111905451471,5.221288782614013
121,JPEG_40,0.6886574074074074,0.9987937504236923,0.9980071831894646,0.0024115071817954565,5.322165213129204
121,ROTATION,0.30745370370370373,0.968103900193929,0.945175870123436,0.06365228463927496,5.265993873861563
87,SALT_PEPPER,0.03337962962962963,0.9238445309355582,0.8757158935559783,0.17476825133152465,5.222471778092807
87,SPECKLE,0.2946682098765432,0.9887975028880813,0.9814558008674775,0.02255527933206717,5.230858233580332
87,GAUSSIAN_BLUR,0.28412808641975307,0.9972555853862408,0.9954174807868119,0.005538410810843426,5.304789969608713
87,MEDIAN_FILTER,0.17640432098765432,0.9985772805487099,0.9976084265550552,0.0028739835516783797,5.216826008829928
87,JPEG_40,0.6869135802469136,0.9985717828418468,0.9976825740855033,0.002854410482023265,5.3192937237855045
87,ROTATION,0.30657407407407405,0.9607625109369375,0.9339483514760845,0.07827115374974677,5.264409122476292
120,SALT_PEPPER,0.033811728395061726,0.9238613469445239,0.8746280436846859,0.17430985961596185,5.223256688390453
120,SPECKLE,0.2930787037037037,0.9888234475088148,0.9813179883913195,0.022511651231561687,5.230976691067264
120,GAUSSIAN_BLUR,0.28554783950617285,0.9976085395685326,0.9959679796747999,0.004828096296993988,5.303692250979449
120,MEDIAN_FILTER,0.17443672839506172,0.9987240664550692,0.9978334185133214,0.0025744682457374962,5.219631342953168
120,JPEG_40,0.686929012345679,0.9986706497001612,0.9978226302915213,0.0026569985861861,5.310202334880209
120,ROTATION,0.306766975308642,0.9648800251475556,0.9402832670748663,0.07007256442719485,5.264675848017402
147,SALT_PEPPER,0.034020061728395064,0.9369334189682522,0.891762353314072,0.14193864526914662,5.290005954905172
147,SPECKLE,0.29616512345679014,0.9888335634643945,0.980596526074721,0.022488019322126664,5.303238489128931
147,GAUSSIAN_BLUR,0.29366512345679013,0.9975699129111213,0.9957419628012402,0.004905675022377372,5.368907905564668
147,MEDIAN_FILTER,0.18700617283950619,0.9987700355956086,0.9978283663135978,0.0024834136260155552,5.28131578305017
147,JPEG_40,0.6840895061728395,0.9987776935272483,0.9979093633908874,0.0024433045374119794,5.382822296006214
147,ROTATION,0.30910493827160496,0.9666181307118397,0.9409667977364472,0.06660554797379697,5.333531006904987
42,SALT_PEPPER,0.03257716049382716,0.9250996034786987,0.8784603529320894,0.17210996167369869,5.224608034785846
42,SPECKLE,0.29390432098765434,0.9888988117992092,0.9817301182456346,0.022328107097703335,5.230348525114375
42,GAUSSIAN_BLUR,0.2864969135802469,0.9970435256084844,0.9950992989157579,0.00597455259791869,5.309295352442537
42,MEDIAN_FILTER,0.18472993827160494,0.998486347886544,0.9974722198185838,0.0030669848768180063,5.217879546842883
42,JPEG_40,0.6872222222222222,0.9984671257201089,0.9975203422232476,0.0030643660937976556,5.333087321352805
